date,value
19/11/14,6696.6
20/11/14,6678.9
21/11/14,6750.76
24/11/14,6729.79
25/11/14,6731.14
26/11/14,6729.17
27/11/14,6723.42
28/11/14,6722.62
01/12/14,6656.37
02/12/14,6742.1
03/12/14,6716.63
04/12/14,6679.37
05/12/14,6742.84
08/12/14,6672.15
09/12/14,6529.47
10/12/14,6500.04
11/12/14,6461.7
12/12/14,6300.63
15/12/14,6182.72
16/12/14,6331.83
17/12/14,6336.48
18/12/14,6466
19/12/14,6545.27
22/12/14,6576.74
23/12/14,6598.18
24/12/14,6609.93
25/12/14,6609.93
26/12/14,6609.93
29/12/14,6633.51
30/12/14,6547
31/12/14,6566.09
01/01/15,6566.09
02/01/15,6547.8
05/01/15,6417.16
06/01/15,6366.51
07/01/15,6419.83
08/01/15,6569.96
09/01/15,6501.14
12/01/15,6501.42
13/01/15,6542.2
14/01/15,6388.46
15/01/15,6498.78
16/01/15,6550.27
19/01/15,6585.53
20/01/15,6620.1
21/01/15,6728.04
22/01/15,6796.63
23/01/15,6832.83
26/01/15,6852.4
27/01/15,6811.61
28/01/15,6825.94
29/01/15,6810.6
30/01/15,6749.4
02/02/15,6782.55
03/02/15,6871.8
04/02/15,6860.02
05/02/15,6865.93
06/02/15,6853.44
09/02/15,6837.15
10/02/15,6829.12
11/02/15,6818.17
12/02/15,6828.11
13/02/15,6873.52
16/02/15,6857.05
17/02/15,6898.13
18/02/15,6898.08
19/02/15,6888.9
20/02/15,6915.2
23/02/15,6912.16
24/02/15,6949.63
25/02/15,6935.38
26/02/15,6949.73
27/02/15,6946.66
02/03/15,6940.64
03/03/15,6889.13
04/03/15,6919.24
05/03/15,6961.14
06/03/15,6911.8
09/03/15,6876.47
10/03/15,6702.84
11/03/15,6721.51
12/03/15,6761.07
13/03/15,6740.58
16/03/15,6804.08
17/03/15,6837.61
18/03/15,6945.2
19/03/15,6962.32
20/03/15,7022.51
23/03/15,7037.67
24/03/15,7019.68
25/03/15,6990.97
26/03/15,6895.33
27/03/15,6855.02
30/03/15,6891.43
31/03/15,6773.04
01/04/15,6809.5
02/04/15,6833.46
03/04/15,6833.46
06/04/15,6833.46
07/04/15,6961.77
08/04/15,6937.41
09/04/15,7015.36
10/04/15,7089.77
13/04/15,7064.3
14/04/15,7075.26
15/04/15,7096.78
16/04/15,7060.45
17/04/15,6994.63
20/04/15,7052.13
21/04/15,7062.93
22/04/15,7028.24
23/04/15,7053.67
24/04/15,7070.7
27/04/15,7103.98
28/04/15,7030.53
29/04/15,6946.28
30/04/15,6960.63
01/05/15,6985.95
04/05/15,6985.95
05/05/15,6927.58
06/05/15,6933.74
07/05/15,6886.95
08/05/15,7046.82
11/05/15,7029.85
12/05/15,6933.8
13/05/15,6949.63
14/05/15,6973.04
15/05/15,6960.49
18/05/15,6968.87
19/05/15,6995.1
20/05/15,7007.26
21/05/15,7013.47
22/05/15,7031.72
25/05/15,7031.72
26/05/15,6948.99
27/05/15,7033.33
28/05/15,7040.92
29/05/15,6984.43
01/06/15,6953.58
02/06/15,6928.27
03/06/15,6950.46
04/06/15,6859.24
05/06/15,6804.6
08/06/15,6790.04
09/06/15,6753.8
10/06/15,6830.27
11/06/15,6846.74
12/06/15,6784.92
15/06/15,6710.52
16/06/15,6710.1
17/06/15,6680.55
18/06/15,6707.88
19/06/15,6710.45
22/06/15,6825.67
23/06/15,6834.87
24/06/15,6844.8
25/06/15,6807.82
26/06/15,6753.7
29/06/15,6620.48
30/06/15,6520.98
01/07/15,6608.59
02/07/15,6630.47
03/07/15,6585.78
06/07/15,6535.68
07/07/15,6432.21
08/07/15,6490.7
09/07/15,6581.63
10/07/15,6673.38
13/07/15,6737.95
14/07/15,6753.75
15/07/15,6753.75
16/07/15,6796.45
17/07/15,6775.08
20/07/15,6788.69
21/07/15,6769.07
22/07/15,6667.34
23/07/15,6655.01
24/07/15,6579.81
27/07/15,6505.13
28/07/15,6555.28
29/07/15,6631
30/07/15,6668.87
31/07/15,6696.28
03/08/15,6688.62
04/08/15,6686.57
05/08/15,6752.41
06/08/15,6747.09
07/08/15,6718.49
10/08/15,6736.22
11/08/15,6664.54
12/08/15,6571.19
13/08/15,6568.33
14/08/15,6550.74
17/08/15,6550.3
18/08/15,6526.29
19/08/15,6403.45
20/08/15,6367.89
21/08/15,6187.65
24/08/15,5898.87
25/08/15,6081.34
26/08/15,5979.2
27/08/15,6192.03
28/08/15,6247.94
31/08/15,6247.94
01/09/15,6058.54
02/09/15,6083.31
03/09/15,6194.1
04/09/15,6042.92
07/09/15,6074.52
08/09/15,6146.1
09/09/15,6229.01
10/09/15,6155.81
11/09/15,6117.76
14/09/15,6084.59
15/09/15,6137.6
16/09/15,6229.21
17/09/15,6186.99
18/09/15,6104.11
21/09/15,6108.71
22/09/15,5935.84
23/09/15,6032.24
24/09/15,5961.49
25/09/15,6109.01
28/09/15,5958.86
29/09/15,5909.24
30/09/15,6061.61
01/10/15,6072.47
02/10/15,6129.98
05/10/15,6298.92
06/10/15,6326.16
07/10/15,6336.35
08/10/15,6374.82
09/10/15,6416.16
12/10/15,6371.18
13/10/15,6342.28
14/10/15,6269.61
15/10/15,6338.67
16/10/15,6378.04
19/10/15,6352.33
20/10/15,6345.13
21/10/15,6348.42
22/10/15,6376.28
23/10/15,6444.08
26/10/15,6417.02
27/10/15,6365.27
28/10/15,6437.8
29/10/15,6395.8
30/10/15,6361.09
02/11/15,6361.8
03/11/15,6383.61
04/11/15,6412.88
05/11/15,6364.9
06/11/15,6353.83
09/11/15,6295.16
10/11/15,6275.28
11/11/15,6297.2
12/11/15,6178.68
13/11/15,6118.28
16/11/15,6146.38
17/11/15,6268.76
18/11/15,6278.97
19/11/15,6329.93
20/11/15,6334.63
23/11/15,6305.49
24/11/15,6277.23
25/11/15,6337.64
26/11/15,6393.13
27/11/15,6375.15
30/11/15,6356.09
01/12/15,6395.65
02/12/15,6420.93
03/12/15,6275
04/12/15,6238.29
07/12/15,6223.52
08/12/15,6135.22
09/12/15,6126.68
10/12/15,6088.05
11/12/15,5952.78
14/12/15,5874.06
15/12/15,6017.79
16/12/15,6061.19
17/12/15,6102.54
18/12/15,6052.42
21/12/15,6034.84
22/12/15,6083.1
23/12/15,6240.98
24/12/15,6254.64
25/12/15,6254.64
28/12/15,6254.64
29/12/15,6314.57
30/12/15,6274.05
31/12/15,6242.32
01/01/16,6242.32
04/01/16,6093.43
05/01/16,6137.24
06/01/16,6073.38
07/01/16,5954.08
08/01/16,5912.44
11/01/16,5871.83
12/01/16,5929.24
13/01/16,5960.97
14/01/16,5918.23
15/01/16,5804.1
18/01/16,5779.92
19/01/16,5876.8
20/01/16,5673.58
21/01/16,5773.79
22/01/16,5900.01
25/01/16,5877
26/01/16,5911.46
27/01/16,5990.37
28/01/16,5931.78
29/01/16,6083.79
01/02/16,6060.1
02/02/16,5922.01
03/02/16,5837.14
04/02/16,5898.76
05/02/16,5848.06
08/02/16,5689.36
09/02/16,5632.19
10/02/16,5672.3
11/02/16,5536.97
12/02/16,5707.6
15/02/16,5824.28
16/02/16,5862.17
17/02/16,6030.32
18/02/16,5971.95
19/02/16,5950.23
22/02/16,6037.73
23/02/16,5962.31
24/02/16,5867.18
25/02/16,6012.81
26/02/16,6096.01
29/02/16,6097.09
01/03/16,6152.88
02/03/16,6147.06
03/03/16,6130.46
04/03/16,6199.43
07/03/16,6182.4
08/03/16,6125.44
09/03/16,6146.32
10/03/16,6036.7
11/03/16,6139.79
14/03/16,6174.57
15/03/16,6139.97
16/03/16,6175.49
17/03/16,6201.12
18/03/16,6189.64
21/03/16,6184.58
22/03/16,6192.74
23/03/16,6199.11
24/03/16,6106.48
25/03/16,6106.48
28/03/16,6106.48
29/03/16,6105.9
30/03/16,6203.17
31/03/16,6174.9
01/04/16,6146.05
04/04/16,6164.72
05/04/16,6091.23
06/04/16,6161.63
07/04/16,6136.89
08/04/16,6204.41
11/04/16,6200.12
12/04/16,6242.39
13/04/16,6362.89
14/04/16,6365.1
15/04/16,6343.75
18/04/16,6353.52
19/04/16,6405.35
20/04/16,6410.26
21/04/16,6381.44
22/04/16,6310.44
25/04/16,6260.92
26/04/16,6284.52
27/04/16,6319.91
28/04/16,6322.4
29/04/16,6241.89
02/05/16,6241.89
03/05/16,6185.59
04/05/16,6112.02
05/05/16,6117.25
06/05/16,6125.7
09/05/16,6114.81
10/05/16,6156.65
11/05/16,6162.49
12/05/16,6104.19
13/05/16,6138.5
16/05/16,6151.4
17/05/16,6167.77
18/05/16,6165.8
19/05/16,6053.35
20/05/16,6156.32
23/05/16,6136.43
24/05/16,6219.26
